murari.krishnan,1.0
ajon0002,9.0
Vincent,27.0
Thomas,231.0
Nicky,5.0
Jimmy,247.0
Freddie,7.0
Dave,9.0
Alan,5.0
/OU=Domain Control Validated/CN=svn.company.net,48.0
